(s, ns, GiB/s):
  0,                0.000,           196898.643,      7.217
  1,                0.000,           198511.665,      7.158
  2,                0.000,           184179.519,      7.715
  3,                0.000,           184012.028,      7.722
  4,                0.000,           183935.062,      7.725
  5,                0.000,           183867.200,      7.728
  6,                0.000,           183917.147,      7.726
  7,                0.000,           183966.410,      7.724
  8,                0.000,           186272.531,      7.628
  9,                0.000,           183983.243,      7.723
 10,                0.000,           184793.152,      7.690
 11,                0.000,           184103.644,      7.718
 12,                0.000,           183916.621,      7.726
 13,                0.000,           183883.148,      7.728
 14,                0.000,           183875.641,      7.728
 15,                0.000,           183850.374,      7.729
 16,                0.000,           183928.990,      7.726
 17,                0.000,           183914.663,      7.726
 18,                0.000,           183813.298,      7.731
 19,                0.000,           183923.266,      7.726
 20,                0.000,           183956.073,      7.725
 21,                0.000,           183982.895,      7.723
 22,                0.000,           183956.642,      7.725
 23,                0.000,           183895.322,      7.727
 24,                0.000,           183962.241,      7.724
 25,                0.000,           183907.465,      7.727
 26,                0.000,           183881.206,      7.728
 27,                0.000,           183989.300,      7.723
 28,                0.000,           183899.430,      7.727
 29,                0.000,           183824.875,      7.730
 30,                0.000,           184022.956,      7.722
 31,                0.000,           183819.100,      7.730
 32,                0.000,           183938.398,      7.725

183813.298, 198511.665, 184866.126, 3346.187, 1.810 %

Delta(min, max)   = 14698.367
Delta(amean, min) = 1052.828
Delta(amean, max) = 13645.539


(cycles, CPIt, CPI):
  0,           458904.104,                2.406,                0.481
  1,           459043.336,                2.407,                0.481
  2,           458923.264,                2.406,                0.481
  3,           459016.124,                2.407,                0.481
  4,           459041.364,                2.407,                0.481
  5,           458456.516,                2.404,                0.481
  6,           458969.776,                2.407,                0.481
  7,           458828.012,                2.406,                0.481
  8,           458834.676,                2.406,                0.481
  9,           458633.168,                2.405,                0.481
 10,           458659.436,                2.405,                0.481
 11,           458860.792,                2.406,                0.481
 12,           458895.672,                2.406,                0.481
 13,           459031.612,                2.407,                0.481
 14,           458922.856,                2.406,                0.481
 15,           458794.848,                2.406,                0.481
 16,           458990.924,                2.407,                0.481
 17,           458958.764,                2.406,                0.481
 18,           471467.344,                2.472,                0.494
 19,           458805.212,                2.406,                0.481
 20,           459130.964,                2.407,                0.481
 21,           458860.464,                2.406,                0.481
 22,           458867.448,                2.406,                0.481
 23,           461163.204,                2.418,                0.484
 24,           459551.196,                2.410,                0.482
 25,           459052.060,                2.407,                0.481
 26,           459214.876,                2.408,                0.482
 27,           458999.168,                2.407,                0.481
 28,           458851.444,                2.406,                0.481
 29,           458981.028,                2.407,                0.481
 30,           459042.780,                2.407,                0.481
 31,           458931.016,                2.406,                0.481
 32,           458983.824,                2.407,                0.481

458456.516, 471467.344, 459383.857, 2210.978, 0.481 %

Delta(min, max)   = 13010.828
Delta(amean, min) = 927.341
Delta(amean, max) = 12083.487
