(s, ns, GiB/s):
  0,                0.000,              441.708,     32.386
  1,                0.000,              440.937,     32.443
  2,                0.000,              440.902,     32.445
  3,                0.000,              440.896,     32.446
  4,                0.000,              440.896,     32.446
  5,                0.000,              449.251,     31.842
  6,                0.000,              440.912,     32.444
  7,                0.000,              440.904,     32.445
  8,                0.000,              440.894,     32.446
  9,                0.000,              440.895,     32.446
 10,                0.000,              440.895,     32.446
 11,                0.000,              440.893,     32.446
 12,                0.000,              440.895,     32.446
 13,                0.000,              440.897,     32.445
 14,                0.000,              444.942,     32.151
 15,                0.000,              440.906,     32.445
 16,                0.000,              440.902,     32.445
 17,                0.000,              440.897,     32.445
 18,                0.000,              440.901,     32.445
 19,                0.000,              440.898,     32.445
 20,                0.000,              440.896,     32.446
 21,                0.000,              440.898,     32.445
 22,                0.000,              440.896,     32.446
 23,                0.000,              445.249,     32.128
 24,                0.000,              440.910,     32.445
 25,                0.000,              440.901,     32.445
 26,                0.000,              440.898,     32.445
 27,                0.000,              440.899,     32.445
 28,                0.000,              440.897,     32.445
 29,                0.000,              440.900,     32.445
 30,                0.000,              440.899,     32.445
 31,                0.000,              440.898,     32.445
 32,                0.000,              444.339,     32.194

440.893, 449.251, 441.536, 1.804, 0.409 %

Delta(min, max)   = 8.358
Delta(amean, min) = 0.643
Delta(amean, max) = 7.715


(cycles, CPIt, CPI):
  0,             1098.452,                0.572,                0.114
  1,             1098.300,                0.572,                0.114
  2,             1098.244,                0.572,                0.114
  3,             1098.240,                0.572,                0.114
  4,             1098.248,                0.572,                0.114
  5,             1098.260,                0.572,                0.114
  6,             1098.264,                0.572,                0.114
  7,             1098.260,                0.572,                0.114
  8,             1111.748,                0.579,                0.116
  9,             1098.272,                0.572,                0.114
 10,             1098.264,                0.572,                0.114
 11,             1098.256,                0.572,                0.114
 12,             1098.260,                0.572,                0.114
 13,             1098.260,                0.572,                0.114
 14,             1098.260,                0.572,                0.114
 15,             1098.256,                0.572,                0.114
 16,             1098.260,                0.572,                0.114
 17,             1107.040,                0.577,                0.115
 18,             1098.252,                0.572,                0.114
 19,             1098.204,                0.572,                0.114
 20,             1098.204,                0.572,                0.114
 21,             1098.204,                0.572,                0.114
 22,             1098.208,                0.572,                0.114
 23,             1098.204,                0.572,                0.114
 24,             1098.208,                0.572,                0.114
 25,             1098.208,                0.572,                0.114
 26,             1098.208,                0.572,                0.114
 27,             1106.268,                0.576,                0.115
 28,             1098.216,                0.572,                0.114
 29,             1098.212,                0.572,                0.114
 30,             1098.208,                0.572,                0.114
 31,             1098.208,                0.572,                0.114
 32,             1098.208,                0.572,                0.114

1098.204, 1111.748, 1099.163, 3.043, 0.277 %

Delta(min, max)   = 13.544
Delta(amean, min) = 0.959
Delta(amean, max) = 12.585
