(s, ns, GiB/s):
  0, 0.000, 106701.498, 1.966
  1, 0.000, 101748.963, 2.062
  2, 0.000, 101721.659, 2.063
  3, 0.000, 102008.495, 2.057
  4, 0.000, 104738.102, 2.003
  5, 0.000, 101603.098, 2.065
  6, 0.000, 101596.453, 2.065
  7, 0.000, 101615.235, 2.065
  8, 0.000, 101599.238, 2.065
  9, 0.000, 101598.026, 2.065
 10, 0.000, 101604.882, 2.065
 11, 0.000, 101600.793, 2.065
 12, 0.000, 101603.386, 2.065
 13, 0.000, 101596.503, 2.065
 14, 0.000, 101592.722, 2.065
 15, 0.000, 101598.765, 2.065
 16, 0.000, 101604.309, 2.065
 17, 0.000, 101618.291, 2.065
 18, 0.000, 101619.758, 2.065
 19, 0.000, 101596.210, 2.065
 20, 0.000, 101593.591, 2.065
 21, 0.000, 101595.756, 2.065
 22, 0.000, 101598.232, 2.065
 23, 0.000, 101593.680, 2.065
 24, 0.000, 101638.174, 2.064
 25, 0.000, 101601.326, 2.065
 26, 0.000, 101596.512, 2.065
 27, 0.000, 101600.664, 2.065
 28, 0.000, 101613.137, 2.065
 29, 0.000, 101595.668, 2.065
 30, 0.000, 101596.213, 2.065
 31, 0.000, 101592.928, 2.065
 32, 0.000, 101594.009, 2.065

101592.722, 106701.498, 101872.008, 1025.277, 1.006 %

Delta(min, max)   = 5108.776
Delta(amean, min) = 279.286
Delta(amean, max) = 4829.490


(cycles, CPIt, CPI):
  0, 253417.336, 8.999, 1.800
  1, 253442.260, 9.000, 1.800
  2, 253445.696, 9.000, 1.800
  3, 253435.128, 9.000, 1.800
  4, 253416.644, 8.999, 1.800
  5, 253416.228, 8.999, 1.800
  6, 253416.568, 8.999, 1.800
  7, 253414.912, 8.999, 1.800
  8, 253410.912, 8.999, 1.800
  9, 253408.436, 8.999, 1.800
 10, 253424.004, 8.999, 1.800
 11, 253411.040, 8.999, 1.800
 12, 253435.848, 9.000, 1.800
 13, 253421.856, 8.999, 1.800
 14, 253410.864, 8.999, 1.800
 15, 253427.164, 9.000, 1.800
 16, 253409.132, 8.999, 1.800
 17, 253423.700, 8.999, 1.800
 18, 253410.872, 8.999, 1.800
 19, 253406.996, 8.999, 1.800
 20, 253415.780, 8.999, 1.800
 21, 253442.320, 9.000, 1.800
 22, 253433.392, 9.000, 1.800
 23, 253442.460, 9.000, 1.800
 24, 253407.992, 8.999, 1.800
 25, 253416.872, 8.999, 1.800
 26, 253409.060, 8.999, 1.800
 27, 253412.036, 8.999, 1.800
 28, 253422.952, 8.999, 1.800
 29, 253409.044, 8.999, 1.800
 30, 253410.736, 8.999, 1.800
 31, 253406.220, 8.999, 1.800
 32, 253414.228, 8.999, 1.800

253406.220, 253445.696, 253419.657, 11.874, 0.005 %

Delta(min, max)   = 39.476
Delta(amean, min) = 13.437
Delta(amean, max) = 26.039
