(s, ns, GiB/s):
  0, 0.000, 379048.601, 7.498
  1, 0.000, 378081.865, 7.517
  2, 0.000, 377091.538, 7.536
  3, 0.000, 377181.473, 7.535
  4, 0.000, 377904.749, 7.520
  5, 0.000, 377129.595, 7.536
  6, 0.000, 377074.418, 7.537
  7, 0.000, 377058.815, 7.537
  8, 0.000, 377029.813, 7.538
  9, 0.000, 377046.178, 7.537
 10, 0.000, 377037.110, 7.538
 11, 0.000, 377047.022, 7.537
 12, 0.000, 377077.985, 7.537
 13, 0.000, 377189.765, 7.535
 14, 0.000, 377070.456, 7.537
 15, 0.000, 377022.794, 7.538
 16, 0.000, 377053.017, 7.537
 17, 0.000, 377866.969, 7.521
 18, 0.000, 377078.570, 7.537
 19, 0.000, 377041.301, 7.538
 20, 0.000, 377060.605, 7.537
 21, 0.000, 377009.076, 7.538
 22, 0.000, 377062.924, 7.537
 23, 0.000, 377034.383, 7.538
 24, 0.000, 377033.016, 7.538
 25, 0.000, 377041.363, 7.538
 26, 0.000, 377048.055, 7.537
 27, 0.000, 377036.422, 7.538
 28, 0.000, 377046.328, 7.537
 29, 0.000, 377052.063, 7.537
 30, 0.000, 377049.699, 7.537
 31, 0.000, 378017.824, 7.518
 32, 0.000, 377093.886, 7.536

377009.076, 379048.601, 377233.869, 444.828, 0.118 %

Delta(min, max)   = 2039.525
Delta(amean, min) = 224.793
Delta(amean, max) = 1814.732


(cycles, CPIt, CPI):
  0, 3434928.668, 9.005, 1.801
  1, 3434817.752, 9.005, 1.801
  2, 3434868.032, 9.005, 1.801
  3, 3434856.736, 9.005, 1.801
  4, 3434795.576, 9.005, 1.801
  5, 3434813.320, 9.005, 1.801
  6, 3434978.864, 9.005, 1.801
  7, 3434783.568, 9.005, 1.801
  8, 3434857.152, 9.005, 1.801
  9, 3434827.768, 9.005, 1.801
 10, 3434757.028, 9.005, 1.801
 11, 3434860.876, 9.005, 1.801
 12, 3435175.060, 9.006, 1.801
 13, 3434826.872, 9.005, 1.801
 14, 3434891.128, 9.005, 1.801
 15, 3434884.444, 9.005, 1.801
 16, 3434839.424, 9.005, 1.801
 17, 3435015.988, 9.005, 1.801
 18, 3434892.684, 9.005, 1.801
 19, 3437276.200, 9.011, 1.802
 20, 3434995.372, 9.005, 1.801
 21, 3434878.048, 9.005, 1.801
 22, 3434874.188, 9.005, 1.801
 23, 3434802.864, 9.005, 1.801
 24, 3434805.288, 9.005, 1.801
 25, 3434824.136, 9.005, 1.801
 26, 3434819.740, 9.005, 1.801
 27, 3434830.648, 9.005, 1.801
 28, 3434813.528, 9.005, 1.801
 29, 3434807.708, 9.005, 1.801
 30, 3434807.072, 9.005, 1.801
 31, 3434820.004, 9.005, 1.801
 32, 3434793.516, 9.005, 1.801

3434757.028, 3437276.200, 3434933.917, 428.391, 0.012 %

Delta(min, max)   = 2519.172
Delta(amean, min) = 176.889
Delta(amean, max) = 2342.283
